module,type,name,res_id,src,value
mrp,code,addons/mrp/stock.py,262, Manufacture,制造
mrp,field,"product.template,bom_count",0,# Bill of Material,# 物料清单
mrp,field,"product.product,mo_count",0,# Manufacturing Orders,# 制造单
mrp,field,"product.template,mo_count",0,# Manufacturing Orders,# 制造单
mrp,code,addons/mrp/mrp.py,335,%s (copy),%s (copy)
mrp,code,addons/mrp/mrp.py,989,%s produced,%s 已生产
mrp,help,"mrp.product.produce,mode",0,"'Consume only' mode will only consume the products with the quantity selected.
'Consume & Produce' mode will consume as well as produce the products with the quantity selected and it will finish the production order when total ordered quantities are produced.","'投料' 模式会仅消耗对应成品数量的原材料暂无产成品产出。
'投料并产出' 模式会消耗对应成品数量的原材料并立即产出对应数量的产成品。"
mrp,model,"ir.actions.act_window,help",mrp.mrp_bom_form_action2,"<p class=""oe_view_nocontent_create"">
                Click to add a component to a bill of material.
              </p><p>
                Bills of materials components are components and by-products
                used to create master bills of materials.  Use this menu to
                search in which BoM a specific component is used.
              </p>
            ","<p class=""oe_view_nocontent_create"">
                单击 增加一个部件到BOM.
              </p><p>
                BOM 部件是一个用来创建主BOM的部件或者副产品. 
              使用这个菜单来搜索一个指定的部件被哪个BOM使用了.
              </p>
            "
mrp,model,"ir.actions.act_window,help",mrp.mrp_workcenter_action,"<p class=""oe_view_nocontent_create"">
                Click to add a work center.
              </p><p>
                Work Centers allow you to create and manage manufacturing
                units. They consist of workers and/or machines, which are
                considered as units for task assignation as well as capacity
                and planning forecast.
              </p>
            ","<p class=""oe_view_nocontent_create"">
               单击增加一个工作中心
              </p><p>
                工作中心允许建立建立和关联一个制造单元。他们可以是工人和（或）机
                 器，被作为任务分配以及能力和计划规划的单元
              </p>
            "
mrp,model,"ir.actions.act_window,help",mrp.mrp_bom_form_action,"<p class=""oe_view_nocontent_create"">
                Click to create a bill of material. 
              </p><p>
                Bills of Materials allow you to define the list of required raw
                materials used to make a finished product; through a manufacturing
                order or a pack of products.
              </p><p>
                Odoo uses these BoMs to automatically propose manufacturing
                orders according to procurement needs.
              </p>
            ","<p class=""oe_view_nocontent_create"">
                Click to create a bill of material. 
              </p><p>
                Bills of Materials allow you to define the list of required raw
                materials used to make a finished product; through a manufacturing
                order or a pack of products.
              </p><p>
                Odoo uses these BoMs to automatically propose manufacturing
                orders according to procurement needs.
              </p>
            "
mrp,model,"ir.actions.act_window,help",mrp.mrp_property_group_action,"<p class=""oe_view_nocontent_create"">
                Click to create a group of properties.
              </p><p>
                Define specific property groups that can be assigned to your
                bill of materials and sales orders. Properties allows Odoo
                to automatically select the right bill of materials according
                to properties selected in the sales order by salesperson.
              </p><p>
                For instance, in the property group ""Warranty"", you an have
                two properties: 1 year warranty, 3 years warranty. Depending
                on the propoerties selected in the sales order, Odoo will
                schedule a production using the matching bill of materials.
              </p>
            ","<p class=""oe_view_nocontent_create"">
                Click to create a group of properties.
              </p><p>
                Define specific property groups that can be assigned to your
                bill of materials and sales orders. Properties allows Odoo
                to automatically select the right bill of materials according
                to properties selected in the sales order by salesperson.
              </p><p>
                For instance, in the property group ""Warranty"", you an have
                two properties: 1 year warranty, 3 years warranty. Depending
                on the propoerties selected in the sales order, Odoo will
                schedule a production using the matching bill of materials.
              </p>
            "
