module,type,name,res_id,src,value
base,model,"ir.module.module,description",base.module_l10n_cn,"

    科目类型\会计科目表模板\增值税\辅助核算类别\管理会计凭证簿\财务会计凭证簿

    添加中文省份数据

    增加小企业会计科目表
    
    ","

    科目类型\会计科目表模板\增值税\辅助核算类别\管理会计凭证簿\财务会计凭证簿

    添加中文省份数据

    增加小企业会计科目表
    
    "
base,model,"ir.module.module,description",base.module_pos_restaurant,"

=======================

This module adds several restaurant features to the Point of Sale:
- Bill Printing: Allows you to print a receipt before the order is paid
- Bill Splitting: Allows you to split an order into different orders
- Kitchen Order Printing: allows you to print orders updates to kitchen or bar printers

","

=======================

This module adds several restaurant features to the Point of Sale:
- Bill Printing: Allows you to print a receipt before the order is paid
- Bill Splitting: Allows you to split an order into different orders
- Kitchen Order Printing: allows you to print orders updates to kitchen or bar printers

"
base,model,"ir.module.module,description",base.module_pos_discount,"

=======================

This module allows the cashier to quickly give a percentage
sale discount to a customer.

","

=======================

This module allows the cashier to quickly give a percentage
sale discount to a customer.

"
base,model,"ir.module.module,description",base.module_l10n_hu,"

Base module for Hungarian localization
==========================================

This module consists :

 - Generic Hungarian chart of accounts
 - Hungarian taxes
 - Hungarian Bank information
 
 ","

Base module for Hungarian localization
==========================================

This module consists :

 - Generic Hungarian chart of accounts
 - Hungarian taxes
 - Hungarian Bank information
 
 "
base,model,"ir.module.module,description",base.module_hr_employee_phone_extension,"

Employee Phone Extension
========================
This module adds the following to employees :
* internal_number
* short_number


Contributors
------------
* Sandy Carter (sandy.carter@savoirfairelinux.com)
* El Hadji Dem (elhadji.dem@savoirfairelinux.com)
    ","

Employee Phone Extension
========================
This module adds the following to employees :
* internal_number
* short_number


Contributors
------------
* Sandy Carter (sandy.carter@savoirfairelinux.com)
* El Hadji Dem (elhadji.dem@savoirfairelinux.com)
    "
base,model,"ir.module.module,description",base.module_crm_claim,"

Manage Customer Claims.
=======================
This application allows you to track your customers/suppliers claims and grievances.

It is fully integrated with the email gateway so that you can create
automatically new claims based on incoming emails.
    ","

Manage Customer Claims.
=======================
This application allows you to track your customers/suppliers claims and grievances.

It is fully integrated with the email gateway so that you can create
automatically new claims based on incoming emails.
    "
base,model,"ir.module.module,description",base.module_pos_session_custom,"

Tested on Odoo 8.0 eed09ba4105ae8f47a37c5071217cea2ef2e153e
","

Tested on Odoo 8.0 eed09ba4105ae8f47a37c5071217cea2ef2e153e
"
base,model,"ir.module.module,description",base.module_pos_ticket_custom2,"

Tested on Odoo 8.0 f8d5a6727d3e8d428d9bef93da7ba6b11f344284
    ","

Tested on Odoo 8.0 f8d5a6727d3e8d428d9bef93da7ba6b11f344284
    "
base,code,addons/base/res/res_config.py,379,"

This addon is already installed on your system","

该模块已经安装到您的系统中了。"
base,model,"ir.module.module,description",base.module_l10n_be_invoice_bba,"
    
Belgian localization for in- and outgoing invoices (prereq to account_coda):
============================================================================
    - Rename 'reference' field labels to 'Communication'
    - Add support for Belgian Structured Communication

A Structured Communication can be generated automatically on outgoing invoices according to the following algorithms:
---------------------------------------------------------------------------------------------------------------------
    1) Random : +++RRR/RRRR/RRRDD+++
        **R..R =** Random Digits, **DD =** Check Digits
    2) Date : +++DOY/YEAR/SSSDD+++
        **DOY =** Day of the Year, **SSS =** Sequence Number, **DD =** Check Digits
    3) Customer Reference +++RRR/RRRR/SSSDDD+++
        **R..R =** Customer Reference without non-numeric characters, **SSS =** Sequence Number, **DD =** Check Digits  
        
The preferred type of Structured Communication and associated Algorithm can be
specified on the Partner records. A 'random' Structured Communication will
generated if no algorithm is specified on the Partner record. 

    ","
    
Belgian localization for in- and outgoing invoices (prereq to account_coda):
============================================================================
    - Rename 'reference' field labels to 'Communication'
    - Add support for Belgian Structured Communication

A Structured Communication can be generated automatically on outgoing invoices according to the following algorithms:
---------------------------------------------------------------------------------------------------------------------
    1) Random : +++RRR/RRRR/RRRDD+++
        **R..R =** Random Digits, **DD =** Check Digits
    2) Date : +++DOY/YEAR/SSSDD+++
        **DOY =** Day of the Year, **SSS =** Sequence Number, **DD =** Check Digits
    3) Customer Reference +++RRR/RRRR/SSSDDD+++
        **R..R =** Customer Reference without non-numeric characters, **SSS =** Sequence Number, **DD =** Check Digits  
        
The preferred type of Structured Communication and associated Algorithm can be
specified on the Partner records. A 'random' Structured Communication will
generated if no algorithm is specified on the Partner record. 

    "
base,model,"ir.module.module,description",base.module_mrp_production_real_costs,"
        - This module allows to control the real cost of a production order,
        creating lines in the analytic account defined in the order that is
        created by the module mrp_project_link.

        - Updates product standard price when a production orders final product
        is done.
            (Product stock * Product standard price + Production real cost) /
            (Product stock + Final product quantity)
        ","
        - This module allows to control the real cost of a production order,
        creating lines in the analytic account defined in the order that is
        created by the module mrp_project_link.

        - Updates product standard price when a production orders final product
        is done.
            (Product stock * Product standard price + Production real cost) /
            (Product stock + Final product quantity)
        "
base,model,"ir.module.module,description",base.module_procurement_mrp_no_confirm,"
        This module avoids the automatic confirmation of manufacturing order
        when procurement orders are executed.
    ","
        This module avoids the automatic confirmation of manufacturing order
        when procurement orders are executed.
    "
base,model,"ir.module.module,description",base.module_crm_claim_corrective,"
        This module extends CRM Claims with corrective measures
    ","
        This module extends CRM Claims with corrective measures
    "
base,model,"ir.module.module,description",base.module_account_treasury_forecast,"
        This module manages the treasury forecast.
        Calculates the treasury forecast from supplier and customer invoices,
        recurring payments and variable payments.
    ","
        This module manages the treasury forecast.
        Calculates the treasury forecast from supplier and customer invoices,
        recurring payments and variable payments.
    "
base,model,"ir.module.module,description",base.module_stock_invoicing_type,"
        This propagates invoicing type from sale order to stock picking.
        Wizard Create invoice from picking:
            Group by partner according to invoicing type's config.
    ","
        This propagates invoicing type from sale order to stock picking.
        Wizard Create invoice from picking:
            Group by partner according to invoicing type's config.
    "
base,model,"ir.module.module,description",base.module_procurement_plan_project,"
        When the procurements are loaded into a plan it will assign the main
        project.
    ","
        When the procurements are loaded into a plan it will assign the main
        project.
    "
base,model,"ir.module.module,summary",base.module_china_smb_reports,"
        中国中小企业财务告
        1，资产负债报告
        2，损益报告
        3，现金流量报告","
        中国中小企业财务告
        1，资产负债报告
        2，损益报告
        3，现金流量报告"
base,model,"ir.module.module,description",base.module_l10n_multilang,"
    * Multi language support for Chart of Accounts, Taxes, Tax Codes, Journals,
      Accounting Templates, Analytic Chart of Accounts and Analytic Journals.
    * Setup wizard changes
        - Copy translations for COA, Tax, Tax Code and Fiscal Position from
          templates to target objects.
    ","
    * 科目表、税、税项、凭证类型、科目模版、成本要素和成本凭证类型的多语言支持。
    * 对设置向导的修改
        - 从模版复制科目表、税、税项和替换规则到目标数据表。
    "
base,model,"ir.module.module,description",base.module_tg_partner_firstname,"
    - Add Firstname field to partner
    - Set Name to Uppercase
    - Capitalize Firstname
    ","
    - Add Firstname field to partner
    - Set Name to Uppercase
    - Capitalize Firstname
    "
base,model,"ir.module.module,description",base.module_stock_move_purchase_price,"
    Adds price column on backorder lines
    ","
    Adds price column on backorder lines
    "
