module,type,name,res_id,src,value
product,field,"product.template,product_variant_count",0,# of Product Variants,# 个产品变体
product,code,addons/product/product.py,776,%s (copy),%s (copy)
product,code,addons/product/product.py,1148,%s (copy),%s (copy)
product,view,product.template,product.product_template_only_form_view,": adding or deleting attributes
                            will delete and recreate existing variants and lead
                            to the loss of their possible customizations.",": adding or deleting attributes
                            will delete and recreate existing variants and lead
                            to the loss of their possible customizations."
product,model,"ir.actions.act_window,help",product.product_ul_form_action,"<p class=""oe_view_nocontent_create"">
                Click to add a new Logistic Unit
              </p><p>
                The logistic unit defines the container used for the package.  
                It has a type (e.g. pallet, box, ...) and you can specify its 
                size. 
              </p>
            ","<p class=""oe_view_nocontent_create"">
                Click to add a new Logistic Unit
              </p><p>
                The logistic unit defines the container used for the package.  
                It has a type (e.g. pallet, box, ...) and you can specify its 
                size. 
              </p>
            "
product,model,"ir.actions.act_window,help",product.product_uom_categ_form_action,"<p class=""oe_view_nocontent_create"">
                Click to add a new unit of measure category.
              </p><p>
                Units of measure belonging to the same category can be
                converted between each others. For example, in the category
                <i>'Time'</i>, you will have the following units of measure:
                Hours, Days.
              </p>
            ","<p class=""oe_view_nocontent_create"">
                单击增加一个新的计量单位类别。
              </p><p>
                属于相同类别的计量单位能互相转换。例如，，在“时间”类别中，你有下列单位: 小时数、天数。

              </p>
            "
product,model,"ir.actions.act_window,help",product.product_uom_form_action,"<p class=""oe_view_nocontent_create"">
                Click to add a new unit of measure.
              </p><p>
                You must define a conversion rate between several Units of
                Measure within the same category.
              </p>
            ","单击以创建一个新的计量单位
            "
product,model,"ir.actions.act_window,help",product.product_pricelist_action,"<p class=""oe_view_nocontent_create"">
                Click to add a pricelist version.
              </p><p>
                There can be more than one version of a pricelist, each of
                these must be valid during a certain period of time. Some
                examples of versions: Main Prices, 2010, 2011, Summer Sales,
                etc.
              </p>
            ","<p class=""oe_view_nocontent_create"">
                单击 增加一个价格表版本.
              </p><p>
                这里能有多于一个价格表版本，每个必须在指定的区间里生效。
                一些版本的示例： 主价格，2010，2011，夏季销售 等等.
              </p>
            "
product,model,"ir.actions.act_window,help",product.product_pricelist_action_for_purchase,"<p class=""oe_view_nocontent_create"">
                Click to create a pricelist.
              </p><p>
                A price list contains rules to be evaluated in order to compute
                the purchase price. The default price list has only one rule; use
                the cost price defined on the product form, so that you do not have to
                worry about supplier pricelists if you have very simple needs.
              </p><p>
                But you can also import complex price lists form your supplier
                that may depends on the quantities ordered or the current
                promotions.
              </p>
            ","<p class=""oe_view_nocontent_create"">
                创建一个价格表。
              </p><p>
                价格表包括了计算订单采购价格的规则。
                默认的价格表有一个规则：使用产品表单里定义的成 
                本价。如果你有非常简单的需求，这样你就不必担心
                供应商的价目表，。
              </p><p>
                但是你也能从供应商那里导入复杂的价格表，可能依
                赖于订购的数量，或者当前的促销活动。
              </p>
            "
product,model,"ir.actions.act_window,help",product.product_pricelist_action2,"<p class=""oe_view_nocontent_create"">
                Click to create a pricelist.
              </p><p>
                A price list contains rules to be evaluated in order to compute
                the sales price of the products.
              </p><p>
                Price lists may have several versions (2010, 2011, Promotion of
                February 2010, etc.) and each version may have several rules.
                (e.g. the customer price of a product category will be based on
                the supplier price multiplied by 1.80).
              </p>
            ","<p class=""oe_view_nocontent_create"">
                点击创建一个价格列表。
              </p><p>
                价格列表包括待评审的规则来计算产品价格。
              </p><p>
                价格列表可能有不同版本（2010, 2011, 2010年2月促销等等） ，每个版本可能有几个不同的规则。
                （例如：给顾客的产品价格按照供应商价格的1.8倍提交。
              </p>
            "
product,model,"ir.actions.act_window,help",product.product_normal_action,"<p class=""oe_view_nocontent_create"">
                Click to define a new product.
              </p><p>
                You must define a product for everything you buy or sell,
                whether it's a physical product, a consumable or service.
              </p>
            ","<p class=""oe_view_nocontent_create""> 
               单击定义一个新产品
              </p><p>
                你必须为买卖的的每一样都定义一个产品。可以是物理产品、消耗品、或者服务。
              </p>
            "
product,model,"ir.actions.act_window,help",product.product_variant_action,"<p class=""oe_view_nocontent_create"">
                Click to define a new product.
              </p><p>
                You must define a product for everything you buy or sell,
                whether it's a physical product, a consumable or service.
              </p>
            ","<p class=""oe_view_nocontent_create""> 
               单击定义一个新产品
              </p><p>
                你必须为买卖的的每一样都定义一个产品。可以是物理产品、消耗品、或者服务。
              </p>
            "
product,model,"ir.actions.act_window,help",product.product_normal_action_sell,"<p class=""oe_view_nocontent_create"">
                Click to define a new product.
              </p><p>
                You must define a product for everything you sell, whether it's
                a physical product, a consumable or a service you offer to
                customers.
              </p><p>
                The product form contains information to simplify the sale
                process: price, notes in the quotation, accounting data,
                procurement methods, etc.
              </p>
            ","<p class=""oe_view_nocontent_create"">
                单击定义一个新产品
              </p><p>
                你必须为销售的每一样都定义一个产品。可以是物理产品、消耗品、或者你提供给客户的服务。
              </p><p>
                产品表单包括下面的信息以简化销售处理：价格、报价事项，会计数据，供应方法等等。
               </p>
            "
product,model,"ir.actions.act_window,help",product.product_category_action,"<p>
                Here is a list of all your products classified by category. You
                can click a category to get the list of all products linked to
                this category or to a child of this category.
              </p>
            ","<p>
                这是你所有产品根据类别进行的分类列表。你能单击分类 获得关联到这个类别极其子类的所有产品列表。
              </p>
            "
product,help,"product.category,type",0,A category of the view type is a virtual category that can be used as the parent of another category to create a hierarchical structure.,视图类型的分类是一个可视分类，用来做其它分类的上级，以此建立一个分层结构。
product,help,"product.template,description_sale",0,"A description of the Product that you want to communicate to your customers. This description will be copied to every Sale Order, Delivery Order and Customer Invoice/Refund","A description of the Product that you want to communicate to your customers. This description will be copied to every Sale Order, Delivery Order and Customer Invoice/Refund"
product,help,"product.template,description_purchase",0,"A description of the Product that you want to communicate to your suppliers. This description will be copied to every Purchase Order, Receipt and Supplier Invoice/Refund.","A description of the Product that you want to communicate to your suppliers. This description will be copied to every Purchase Order, Receipt and Supplier Invoice/Refund."
product,help,"product.template,description",0,"A precise description of the Product, used only for internal information purposes.",精确的产品描述，仅用于内部备注。
product,field,"product.price.type,active",0,Active,有效
product,field,"product.pricelist,active",0,Active,有效
product,field,"product.pricelist.version,active",0,Active,有效
product,field,"product.product,active",0,Active,有效
product,field,"product.template,active",0,Active,有效
product,field,"product.uom,active",0,Active,有效
product,model,"product.category,name",product.product_category_all,All,全部
product,help,"product.supplierinfo,sequence",0,Assigns the priority to the list of product supplier.,赋予供应商在其列表中的优先级
product,help,"product.price.type,field",0,Associated field in the product form.,产品的相关字段
